id,age,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,x,y,score
1,18,4,1,5,1,5,1,5,2,5,1,19,19,66.5
2,17,4,1,5,1,3,1,3,1,4,1,14,20,64
3,14,4,4,4,3,2,4,2,3,4,5,11,6,26
4,16,2,1,5,1,3,2,3,1,4,2,12,18,57
5,16,2,1,4,2,4,2,4,2,4,1,13,17,55.5
6,16,3,1,5,1,4,2,5,3,4,1,16,17,58.5
7,16,4,1,5,2,2,3,4,2,3,2,13,15,50.5
